gene	Flower	Meiocyte	Microspore	Veg	Spm	Preglobular	Globular	Heart	Torpedo	BentCotyledon	MatureGreen	Seedling
AT2G16570	4.42143	0.1405965	6.84245	0	0	37.2364	32.0403	20.54975	15.70955	8.14966	2.61705	1.727815
AT2G17295	0	0	0	0	0	4.35133	0	0	0	0	0	0
AT2G17490	0.337166	0.165801	0.0570586	0	0	0.00321844	0.466274	0.880652	0.016679021	9.0195e-06	0.0646093	0.00043939
AT2G17950	7.55802	0	0	0	0	2.24629	1.4837	0.6901365	0.5810395	0.481227	0.31543	0
AT2G18140	0.0750918	0	3.02106	0	0	0	0	0	0	0	0	0
AT2G18190	1.68178	7.20239	6.83857	5.16053	0	0	0	0	0	0	0	0
AT2G18870	0.0317594	0	0.264255	0	0	0	0.0657497	0	0	0	0	0
AT2G19000	2.60415	0	142.983	4.24472	9.63532	0	1.58568	0	0	0	0	0
AT2G19610	1.15365	0.7913375	6.20921	0	0	0.0344627	0	0.172358	0.05264445	0.215702	0.0667935	0
AT2G20825	7.10403	1.579522	8.54663	0	0	0.154044	0.374415	1.85023	2.50942	0.187716	0	0.287678
AT2G21720	1.24513	0.275292	6.20041	5.7522	0.0670383	0	0	0	0	0	28.8132	0.110745
AT2G21780	1.26453	1.811745	2.26953	10.9179	0	0.269832	0.834005	1.55003	1.22028	5.17886	15.7679	0
AT2G22050	0.108962	0.519935	0.238253	0	1.19663	0	0	0	0	0.109645	0	0
AT2G22750	0.703856	0.590175	0	0	0	0	0	0	0	0	0	0
AT2G22810	0.579052	0	4.82515	0	0	0	0	0	0	0	0	0
AT2G23130	11.3024	0	28.1694	0	0	0.324471	0.339982	0.40676	6.9248	63.6631	145.123	4.27279
AT2G24260	2.72085	0.5704295	32.452	0	0	18.5193	12.3293	7.173055	3.6423	2.76337	10.284	4.29053
AT2G24510	0.384133	1.06925	0.752718	0	0	0	0	0	0	0	0	0
AT2G24660	0.0766	2.79e-05	0.493	0	9.1e-06	0	0	5.46e-06	0	0	3.86e-06	0
AT2G24670	0.387579	0.2438145	0	0	0	0	0	0	0	0	0	0
AT2G24740	0.103992	0.8252225	0.112166	0	0	0.0841432	0.170016	0.0178957	0.0521037	0	0	0
AT2G25330	1.57815	0.148397	5.53123	0	0.645567	2.47047	0.0542281	0.04999515	0.0133343	0	0	0
AT2G25500	0.571962	0	2.83225	0	0	0	0	0	0	0	0	0
AT2G25700	0.98683	0.9314485	1.15358	0	0	8.69725	1.70278	0.6020555	0.1109605	0	0	0
AT2G26380	0.0211152	0.678595	0	0	0	0	0	0	0	0.140865	0	0.5369415
AT2G26580	3.66105	0	0	0	0	1.22539	53.9443	33.7123	20.6536	20.5935	33.9255	4.270375
AT2G26850	1.19	2.94	5.64	1270	477	3.15	0.528	0	0.0377	0	0.0582	0
AT2G26940	3.04885	0.102524	1.00999	0	0	1.8871	0.737466	0.0786165	0.03435435	0	0	0
AT2G26960	3.33795	11.8488	6.4015	0	0	0	0	0	0	0	0	0
AT2G27750	1.42036	18.2017	0.195652	0	0	0	0	0	0	0	0	0
AT2G28680	70.2806	0.87572	788.273	0.413858	0	351.841	34.8492	1.92212	0.09317875	0	0	0
AT2G28700	0	0	0.149332	0	0	0	0	0	0	0	0	0
AT2G29000	0.0188362	0.2914585	0.032261	0	0	0.119975	0.283855	0.249195	0.02721055	0	0	0.0604655
