gene_ID	Flower	Meiocyte	Microspore	Veg	Spm	Preglobular	Globular	Heart	Torpedo	BentCotyledon	MatureGreen	Seedling
AT4G24070	0	0	0	0	0	0	0	0	0	0	0	0
AT4G24080	1.38358	0.486794	1.4798	0	0	4.05046	4.54837	5.00558	7.50488	8.17609	17.3579	0
AT4G24090	13.9558	25.7763	1.34924	0	0	4.98496	11.3258	15.34675	23.9059	18.1692	11.8647	6.89104
AT4G24100	4.5334	11.003575	0.332971	0	0	0.776223	0.8056	1.21724	1.078035	1.90349	4.05183	4.0437
AT4G24110	1.07263	1.441171	0.171466	0	0	3.39167	1.97424	3.10963	6.98016	22.119	138.432	13.197735
AT4G24120	12.4187	0.0438191	0.0985	0	0	0	0	0	0	0	0	2.323205
AT4G24130	56.9743	1.93375	0	0	0	102.43	15.9942	2.19678	1.37286	0.232873	6.21388	9.826925
AT4G24140	16.3262	0	0.671437	0	0	0	0	0	0	0	0.511765	5.152685
AT4G24150	4.07328	0.9154715	0	0	0	0.063153	0.825426	0.8136015	1.123	1.17629	1.58552	0
AT4G24160	6.91804	8.006235	2.12687	7.1451	6.22636	7.69832	5.73431	6.781225	6.60256	8.23336	9.41056	15.5464
AT4G24170	0.123747	1.568735	0.196952	561.76	25.3054	0.124826	0.114343	0.03625305	0.05881175	0.0286981	0	0
AT4G24175	4.61252	18.6186	3.54148	1.43247	0	10.0785	12.8881	11.3089	13.0677	5.63282	2.17955	0.5673595
AT4G24180	0.933944	0	0.310383	0	0	0	0	0	0	0	0.12544	0
AT4G24190	170.233	385.051	67.1945	1.65493	0.0550006	165.569	181.084	132.6965	111.8043	187.955	51.8761	60.9263
AT4G24200	6.99314	4.024875	4.86575	38.9548	5.63095	5.72433	5.77861	5.998145	4.192735	7.55476	5.10513	8.17462
